,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Modified.Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Modified.Employment.Length,Modified.Interest.Rate,Label
18,5000,1750.04,36 months,other,0.1036,NY,RENT,3416.67,672.0,17,15301,7.0,1.0,0.11539999999999999,Normal Interest Rate
20,6625,6625,36 months,debt_consolidation,0.3343,IL,RENT,2916.67,667.0,13,11369,0.0,1.0,0.1777,Higher Interest Rate
21,15000,15000,36 months,credit_card,0.1916,NJ,RENT,5000.0,707.0,18,13830,0.0,12.0,0.12119999999999999,Normal Interest Rate
22,29175,29175,60 months,credit_card,0.0883,MA,RENT,12500.0,697.0,9,15308,2.0,4.0,0.21,Higher Interest Rate
23,6000,6000,36 months,debt_consolidation,0.0977,CA,RENT,4166.67,697.0,13,15377,1.0,12.0,0.1189,Normal Interest Rate
24,10000,10000,36 months,car,0.0559,TX,RENT,4583.0,692.0,6,2432,1.0,4.0,0.13470000000000001,Normal Interest Rate
25,22000,22000,60 months,debt_consolidation,0.2926,NC,MORTGAGE,3912.0,707.0,8,21633,0.0,12.0,0.1465,Higher Interest Rate
26,18000,18000,60 months,moving,0.14880000000000002,VT,RENT,4000.0,667.0,10,7377,3.0,8.0,0.2489,Higher Interest Rate
27,12000,11875,36 months,debt_consolidation,0.1206,NY,RENT,5000.0,717.0,11,14717,0.0,4.0,0.08900000000000001,Lower Interest Rate
28,24000,24000,36 months,home_improvement,0.1422,OK,MORTGAGE,6833.33,762.0,8,11058,0.0,12.0,0.0762,Lower Interest Rate
29,5000,5000,36 months,credit_card,0.1108,NJ,RENT,1833.33,687.0,7,5408,0.0,12.0,0.12119999999999999,Normal Interest Rate
30,6500,5329.76,36 months,debt_consolidation,0.0857,NJ,RENT,1750.0,722.0,8,9317,1.0,6.0,0.1189,Normal Interest Rate
32,16000,15825,36 months,credit_card,0.203,TX,MORTGAGE,6250.0,667.0,18,30772,5.0,1.0,0.16820000000000002,Higher Interest Rate
33,7300,7300,36 months,credit_card,0.11779999999999999,FL,RENT,3090.5,737.0,5,13459,0.0,7.0,0.0788,Lower Interest Rate
34,25000,20850,60 months,small_business,0.006,CA,MORTGAGE,5666.67,787.0,2,0,4.0,12.0,0.1558,Higher Interest Rate
35,19400,19400,60 months,credit_card,0.09300000000000001,NC,MORTGAGE,6000.0,662.0,5,28921,0.0,12.0,0.2328,Higher Interest Rate
36,11625,11625,36 months,debt_consolidation,0.31120000000000003,OK,RENT,2860.0,682.0,14,8374,2.0,7.0,0.158,Higher Interest Rate
37,10000,10000,36 months,debt_consolidation,0.1246,CA,MORTGAGE,4375.0,697.0,7,11070,0.0,5.0,0.12119999999999999,Normal Interest Rate
38,24000,24000,36 months,debt_consolidation,0.0562,OH,MORTGAGE,9583.33,757.0,9,22725,2.0,3.0,0.0654,Lower Interest Rate
39,3000,3000,36 months,small_business,0.017,NY,MORTGAGE,7750.0,687.0,7,874,0.0,12.0,0.1114,Lower Interest Rate
40,19000,19000,60 months,credit_card,0.1379,NJ,MORTGAGE,4791.67,732.0,9,16348,0.0,5.0,0.11710000000000001,Normal Interest Rate
41,2500,2500,36 months,home_improvement,0.2281,VA,RENT,2530.0,672.0,7,5276,6.0,0.5,0.1531,Higher Interest Rate
42,12000,12000,36 months,debt_consolidation,0.1466,FL,MORTGAGE,5000.0,712.0,11,13235,2.0,2.0,0.12119999999999999,Normal Interest Rate
43,17350,7019.25,36 months,debt_consolidation,0.1852,NH,OWN,3666.67,677.0,8,18966,2.0,6.0,0.1355,Normal Interest Rate
44,24000,14860.05,60 months,debt_consolidation,0.10769999999999999,OH,MORTGAGE,7750.0,717.0,11,2594,2.0,5.0,0.1361,Normal Interest Rate
45,21000,21000,60 months,debt_consolidation,0.1127,GA,MORTGAGE,5333.33,712.0,8,19431,0.0,8.0,0.1427,Normal Interest Rate
46,12000,12000,36 months,credit_card,0.061,IL,MORTGAGE,4833.33,667.0,9,12025,0.0,9.0,0.1311,Normal Interest Rate
47,5000,0,36 months,debt_consolidation,0.0192,NJ,RENT,2600.0,732.0,13,814,0.0,8.0,0.0863,Lower Interest Rate
48,5000,5000,36 months,home_improvement,0.038900000000000004,MN,MORTGAGE,2083.33,777.0,4,3901,2.0,4.0,0.0932,Lower Interest Rate
49,20000,18126.99,60 months,debt_consolidation,0.2024,IL,MORTGAGE,4500.0,742.0,15,26424,0.0,12.0,0.1199,Normal Interest Rate
50,12000,12000,60 months,small_business,0.1524,OH,MORTGAGE,7500.0,677.0,14,28589,2.0,3.0,0.1689,Higher Interest Rate
51,8000,8000,36 months,debt_consolidation,0.2788,IL,RENT,2833.33,672.0,10,9926,3.0,6.0,0.1727,Higher Interest Rate
52,1900,1900,36 months,other,0.2305,FL,RENT,2208.33,727.0,11,8508,1.0,3.0,0.0729,Lower Interest Rate
53,23300,23275,60 months,debt_consolidation,0.3356,GA,MORTGAGE,13666.67,662.0,15,72774,1.0,9.0,0.23829999999999998,Higher Interest Rate
54,8400,6725,36 months,debt_consolidation,0.15710000000000002,MD,RENT,7083.33,642.0,7,14578,3.0,0.5,0.1545,Higher Interest Rate
55,8000,8000,36 months,debt_consolidation,0.21,NJ,OWN,3500.0,677.0,12,7498,0.0,1.0,0.1409,Normal Interest Rate
56,10000,10000,36 months,debt_consolidation,0.19579999999999997,CA,RENT,6250.0,697.0,17,16348,0.0,5.0,0.12119999999999999,Normal Interest Rate
57,1600,1600,36 months,debt_consolidation,0.18989999999999999,WA,MORTGAGE,3459.0,672.0,9,6281,3.0,12.0,0.1311,Normal Interest Rate
58,7200,7200,36 months,debt_consolidation,0.2532,FL,MORTGAGE,3333.33,677.0,13,8903,1.0,6.0,0.158,Higher Interest Rate
59,15000,15000,36 months,debt_consolidation,0.1334,FL,MORTGAGE,4333.33,672.0,9,17264,0.0,12.0,0.1777,Higher Interest Rate
60,15400,9458.33,60 months,house,0.1517,VA,RENT,6500.0,697.0,11,9989,1.0,4.0,0.1632,Higher Interest Rate
61,15000,15000,36 months,debt_consolidation,0.33299999999999996,WY,RENT,3000.0,672.0,20,15092,0.0,12.0,0.1727,Higher Interest Rate
62,12000,12000,36 months,educational,0.0516,OH,MORTGAGE,3333.33,757.0,7,1117,3.0,3.0,0.09880000000000001,Lower Interest Rate
63,21000,21000,60 months,home_improvement,0.1131,NY,MORTGAGE,10250.0,697.0,12,38820,0.0,12.0,0.1875,Higher Interest Rate
64,6000,5950,36 months,major_purchase,0.0874,FL,MORTGAGE,15416.67,717.0,9,105730,1.0,12.0,0.1,Lower Interest Rate
65,12000,12000,36 months,home_improvement,0.0481,NY,MORTGAGE,9833.33,792.0,15,5584,2.0,12.0,0.0662,Lower Interest Rate
66,7000,6975,36 months,vacation,0.21230000000000002,CA,RENT,3000.0,717.0,12,10784,1.0,5.0,0.0691,Lower Interest Rate
67,5000,5000,36 months,credit_card,0.1593,PA,MORTGAGE,6666.67,707.0,10,12307,0.0,7.0,0.08900000000000001,Lower Interest Rate
68,10000,10000,36 months,debt_consolidation,0.18960000000000002,CA,RENT,8744.26,682.0,16,27086,0.0,0.5,0.1311,Normal Interest Rate
69,5000,4975,36 months,other,0.026699999999999998,FL,RENT,3000.0,692.0,4,2474,8.0,1.0,0.16699999999999998,Higher Interest Rate
70,12000,11341.5,36 months,debt_consolidation,0.17920000000000003,WA,RENT,5200.0,712.0,16,8182,0.0,0.5,0.0691,Lower Interest Rate
71,5000,5000,36 months,debt_consolidation,0.0526,AL,MORTGAGE,2416.67,667.0,5,1620,0.0,6.0,0.15990000000000001,Higher Interest Rate
72,16000,16000,36 months,debt_consolidation,0.19920000000000002,MA,RENT,6000.0,692.0,11,10915,1.0,7.0,0.1531,Higher Interest Rate
73,16000,16000,60 months,major_purchase,0.19260000000000002,MD,RENT,7000.0,697.0,7,5231,1.0,12.0,0.1727,Higher Interest Rate
74,10000,10000,36 months,debt_consolidation,0.24239999999999998,IL,RENT,3750.0,767.0,9,1623,0.0,2.0,0.0662,Lower Interest Rate
75,10000,10000,36 months,debt_consolidation,0.18309999999999998,NJ,RENT,2916.67,727.0,6,5670,1.0,12.0,0.09759999999999999,Lower Interest Rate
76,20500,20500,36 months,credit_card,0.3095,NV,MORTGAGE,4333.33,707.0,14,33294,0.0,12.0,0.12119999999999999,Normal Interest Rate
77,21000,21000,60 months,credit_card,0.1387,IL,MORTGAGE,6000.0,682.0,10,17008,1.0,12.0,0.19219999999999998,Higher Interest Rate
78,24375,24375,36 months,debt_consolidation,0.1364,PA,MORTGAGE,11500.0,697.0,16,35461,0.0,12.0,0.1399,Normal Interest Rate
79,7000,7000,36 months,credit_card,0.0889,AZ,MORTGAGE,3352.0,772.0,14,14014,2.0,0.5,0.07400000000000001,Lower Interest Rate
80,20000,20000,36 months,debt_consolidation,0.149,SC,MORTGAGE,6541.67,737.0,14,14272,2.0,0.5,0.08900000000000001,Lower Interest Rate
81,18000,18000,36 months,debt_consolidation,0.1671,NY,MORTGAGE,6666.67,687.0,16,19850,1.0,6.0,0.1016,Lower Interest Rate
82,5000,5000,36 months,educational,0.11810000000000001,AZ,MORTGAGE,9166.67,732.0,16,23658,2.0,12.0,0.09630000000000001,Lower Interest Rate
83,18000,17975,36 months,debt_consolidation,0.10339999999999999,AZ,RENT,3540.0,702.0,8,14960,0.0,0.5,0.11710000000000001,Normal Interest Rate
84,5875,5875,36 months,other,0.1475,NV,RENT,5416.67,722.0,15,2617,2.0,4.0,0.079,Lower Interest Rate
85,12000,12000,36 months,debt_consolidation,0.2696,CA,RENT,3833.33,692.0,15,6038,0.0,4.0,0.12119999999999999,Normal Interest Rate
86,5000,5000,36 months,educational,0.1121,FL,RENT,3800.0,712.0,4,1575,4.0,3.0,0.1348,Normal Interest Rate
87,14000,12800,60 months,other,0.0837,MI,RENT,6166.67,712.0,5,2697,2.0,0.5,0.1479,Higher Interest Rate
88,5000,5000,36 months,debt_consolidation,0.17370000000000002,GA,RENT,1750.0,677.0,3,10361,0.0,0.5,0.1531,Higher Interest Rate
89,5000,5000,36 months,wedding,0.23149999999999998,OH,RENT,2833.33,752.0,7,4573,0.0,3.0,0.0542,Lower Interest Rate
90,10000,10000,36 months,credit_card,0.2184,MI,MORTGAGE,2916.67,667.0,18,21245,0.0,12.0,0.1727,Higher Interest Rate
91,20000,20000,36 months,credit_card,0.013000000000000001,IL,RENT,10400.0,752.0,5,6969,0.0,1.0,0.079,Lower Interest Rate
92,19000,19000,36 months,debt_consolidation,0.1643,FL,RENT,3833.33,727.0,10,22033,1.0,7.0,0.09759999999999999,Lower Interest Rate
93,15000,15000,36 months,credit_card,0.1551,GA,MORTGAGE,8750.0,692.0,9,15207,0.0,12.0,0.1114,Lower Interest Rate
94,3000,2925,36 months,debt_consolidation,0.0922,CA,RENT,4900.0,692.0,6,3996,1.0,12.0,0.1149,Normal Interest Rate
95,2500,2275.77,36 months,major_purchase,0.1759,OR,MORTGAGE,3666.67,787.0,6,406,0.0,12.0,0.0768,Lower Interest Rate
96,5500,5500,60 months,debt_consolidation,0.1795,RI,RENT,4250.0,702.0,16,13256,0.0,12.0,0.15990000000000001,Higher Interest Rate
97,4800,4775,36 months,car,0.11710000000000001,NJ,RENT,2800.0,737.0,6,9228,0.0,3.0,0.0579,Lower Interest Rate
99,10000,10000,36 months,debt_consolidation,0.2016,CA,RENT,5833.33,697.0,16,25687,0.0,4.0,0.12119999999999999,Normal Interest Rate
101,16000,15875,36 months,debt_consolidation,0.125,IL,RENT,6750.0,687.0,12,6799,2.0,7.0,0.13849999999999998,Normal Interest Rate
102,15000,10765.99,36 months,credit_card,0.039,OH,RENT,10000.0,757.0,8,6055,2.0,5.0,0.0788,Lower Interest Rate
103,10000,10000,36 months,credit_card,0.14980000000000002,WA,RENT,5000.0,712.0,8,16908,0.0,12.0,0.09910000000000001,Lower Interest Rate
104,15000,15000,36 months,credit_card,0.21539999999999998,NY,OWN,5000.0,732.0,8,21555,0.0,2.0,0.079,Lower Interest Rate
105,7000,6875,36 months,major_purchase,0.1394,CA,RENT,5000.0,692.0,5,1364,2.0,12.0,0.1036,Lower Interest Rate
106,20950,20950,36 months,debt_consolidation,0.15710000000000002,MA,MORTGAGE,12916.67,692.0,8,30188,1.0,4.0,0.158,Higher Interest Rate
107,13000,13000,36 months,car,0.059500000000000004,NJ,MORTGAGE,11666.67,752.0,16,11451,1.0,7.0,0.0662,Lower Interest Rate
108,7500,7500,36 months,home_improvement,0.22260000000000002,OH,MORTGAGE,2583.33,787.0,11,2160,0.0,12.0,0.0542,Lower Interest Rate
109,15000,15000,36 months,debt_consolidation,0.3342,AZ,RENT,4500.0,677.0,20,13369,0.0,0.5,0.1433,Normal Interest Rate
111,6000,6000,36 months,credit_card,0.3276,MI,OWN,1666.67,667.0,12,15055,2.0,0.5,0.1777,Higher Interest Rate
112,14400,14400,36 months,home_improvement,0.06709999999999999,FL,MORTGAGE,12500.0,772.0,6,1280,0.0,12.0,0.0662,Lower Interest Rate
113,14675,14675,36 months,debt_consolidation,0.174,NY,MORTGAGE,3166.67,722.0,7,22549,0.0,12.0,0.079,Lower Interest Rate
114,5000,5000,36 months,debt_consolidation,0.2253,WA,MORTGAGE,3000.0,722.0,9,3388,2.0,12.0,0.0849,Lower Interest Rate
115,24000,24000,36 months,other,0.1953,MN,RENT,4583.33,712.0,5,21377,0.0,5.0,0.12689999999999999,Normal Interest Rate
116,24000,24000,60 months,debt_consolidation,0.1673,NC,MORTGAGE,7500.0,667.0,10,24126,0.0,7.0,0.158,Higher Interest Rate
118,24500,24450,36 months,house,0.13419999999999999,NY,OWN,12500.0,812.0,10,346,0.0,12.0,0.1183,Normal Interest Rate
119,25000,25000,36 months,credit_card,0.2788,NM,OWN,5416.67,712.0,11,18460,2.0,12.0,0.1433,Normal Interest Rate
120,20000,20000,36 months,credit_card,0.1079,IL,RENT,12083.33,682.0,8,25672,0.0,1.0,0.08900000000000001,Lower Interest Rate
121,25000,24975,36 months,credit_card,0.1472,FL,RENT,7301.58,672.0,18,21675,0.0,4.0,0.205,Higher Interest Rate
122,35000,35000,36 months,debt_consolidation,0.1105,LA,MORTGAGE,7702.0,672.0,8,11346,0.0,12.0,0.21,Higher Interest Rate
123,3600,3600,36 months,debt_consolidation,0.0158,NJ,MORTGAGE,6333.0,692.0,6,12135,3.0,0.5,0.12869999999999998,Normal Interest Rate
124,24000,24000,36 months,debt_consolidation,0.2901,MD,MORTGAGE,7500.0,672.0,12,14804,1.0,0.5,0.12119999999999999,Normal Interest Rate
125,15000,15000,60 months,credit_card,0.1721,NJ,RENT,4583.33,732.0,4,13115,1.0,8.0,0.1465,Higher Interest Rate
126,11200,11200,60 months,debt_consolidation,0.063,NY,RENT,5583.33,662.0,12,7952,2.0,12.0,0.21739999999999998,Higher Interest Rate
127,10000,10000,36 months,other,0.1795,SC,MORTGAGE,3750.0,677.0,10,7034,1.0,6.0,0.1905,Higher Interest Rate
128,30000,30000,36 months,other,0.0941,MN,RENT,10192.0,712.0,12,24188,0.0,0.5,0.1777,Higher Interest Rate
129,3200,766.09,36 months,other,0.1477,PA,RENT,2824.0,672.0,6,3318,1.0,7.0,0.1286,Normal Interest Rate
130,8000,8000,36 months,vacation,0.044800000000000006,TX,RENT,6250.0,672.0,8,14607,0.0,1.0,0.1433,Normal Interest Rate
131,16000,16000,36 months,debt_consolidation,0.0223,CA,MORTGAGE,7083.33,742.0,11,3076,0.0,5.0,0.079,Lower Interest Rate
132,7000,7000,36 months,credit_card,0.1564,CO,RENT,2666.67,672.0,11,11529,0.0,5.0,0.1531,Higher Interest Rate
133,3000,3000,36 months,credit_card,0.22030000000000002,PA,MORTGAGE,5583.33,707.0,15,12968,0.0,3.0,0.079,Lower Interest Rate
134,6000,6000,36 months,credit_card,0.221,MI,RENT,5583.33,667.0,9,36748,3.0,5.0,0.15960000000000002,Higher Interest Rate
135,14400,14400,36 months,debt_consolidation,0.059000000000000004,CA,MORTGAGE,6833.33,702.0,15,10017,0.0,12.0,0.1074,Lower Interest Rate
136,11700,11650,36 months,debt_consolidation,0.1213,MO,MORTGAGE,4583.33,747.0,13,26769,1.0,12.0,0.0766,Lower Interest Rate
137,12000,12000,36 months,debt_consolidation,0.17370000000000002,CT,MORTGAGE,3666.67,672.0,10,7393,0.0,7.0,0.17989999999999998,Higher Interest Rate
138,11500,11500,36 months,debt_consolidation,0.1047,AL,RENT,2916.67,702.0,6,9562,0.0,0.5,0.1114,Lower Interest Rate
139,18000,18000,60 months,debt_consolidation,0.09050000000000001,WI,RENT,7083.33,662.0,6,13106,0.0,12.0,0.2328,Higher Interest Rate
140,25000,23477.53,60 months,debt_consolidation,0.1461,NV,MORTGAGE,5833.33,697.0,8,13785,0.0,12.0,0.1864,Higher Interest Rate
141,6000,6000,36 months,house,0.0668,NY,RENT,10416.67,712.0,9,20592,0.0,12.0,0.079,Lower Interest Rate
142,5000,5000,36 months,vacation,0.1371,NJ,RENT,8125.0,677.0,5,29602,0.0,12.0,0.1839,Higher Interest Rate
143,8500,8475,36 months,home_improvement,0.1233,MO,MORTGAGE,6100.0,747.0,17,6370,0.0,12.0,0.0603,Lower Interest Rate
144,10000,10000,36 months,medical,0.1326,MN,MORTGAGE,7416.67,737.0,12,16297,2.0,12.0,0.0762,Lower Interest Rate
145,16500,16175,60 months,home_improvement,0.0641,MA,MORTGAGE,5833.33,717.0,8,30455,2.0,0.5,0.1223,Normal Interest Rate
146,16550,16550,36 months,debt_consolidation,0.3256,MN,MORTGAGE,4333.33,677.0,15,12163,1.0,12.0,0.1727,Higher Interest Rate
148,10000,9850,36 months,debt_consolidation,0.1704,KY,MORTGAGE,4500.0,732.0,8,6948,2.0,4.0,0.09880000000000001,Lower Interest Rate
149,5000,5000,36 months,debt_consolidation,0.0953,CO,MORTGAGE,4333.33,757.0,5,1825,1.0,7.0,0.0751,Lower Interest Rate
150,6000,6000,36 months,debt_consolidation,0.12050000000000001,NJ,RENT,6000.0,722.0,14,25090,4.0,12.0,0.1075,Lower Interest Rate
151,8000,8000,36 months,debt_consolidation,0.0451,OR,MORTGAGE,3500.0,817.0,9,6737,0.0,12.0,0.0603,Lower Interest Rate
152,12000,12000,36 months,debt_consolidation,0.1751,SC,MORTGAGE,9666.67,682.0,12,17226,0.0,5.0,0.1311,Normal Interest Rate
153,13250,13250,36 months,debt_consolidation,0.22640000000000002,CO,RENT,2500.0,742.0,7,12957,0.0,0.5,0.079,Lower Interest Rate
154,12000,11875,60 months,credit_card,0.1698,FL,MORTGAGE,3791.67,782.0,10,59495,1.0,12.0,0.1038,Lower Interest Rate
155,5200,5200,36 months,debt_consolidation,0.2318,CA,MORTGAGE,5000.0,682.0,17,28118,2.0,5.0,0.1399,Normal Interest Rate
156,10000,10000,36 months,debt_consolidation,0.18719999999999998,CO,RENT,4625.0,687.0,13,7411,0.0,2.0,0.1311,Normal Interest Rate
157,11700,11675,36 months,home_improvement,0.056299999999999996,CA,MORTGAGE,3320.83,722.0,11,14301,0.0,12.0,0.079,Lower Interest Rate
158,6000,5750,36 months,debt_consolidation,0.0891,CT,MORTGAGE,4500.0,762.0,10,4561,1.0,12.0,0.07139999999999999,Lower Interest Rate
159,20000,19975,60 months,small_business,0.1616,IL,MORTGAGE,3750.0,702.0,9,19872,1.0,0.5,0.15990000000000001,Higher Interest Rate
160,2000,2000,36 months,wedding,0.0199,NY,RENT,2518.75,677.0,5,985,0.0,7.0,0.1242,Normal Interest Rate
161,4500,4500,36 months,debt_consolidation,0.2146,NY,RENT,3644.83,767.0,8,1058,2.0,0.5,0.0599,Lower Interest Rate
162,20800,20800,60 months,credit_card,0.155,TX,RENT,6916.67,682.0,20,28764,1.0,12.0,0.19219999999999998,Higher Interest Rate
163,8500,8500,36 months,debt_consolidation,0.0658,CA,MORTGAGE,5333.33,707.0,10,3432,0.0,12.0,0.09759999999999999,Lower Interest Rate
164,24500,23475,60 months,debt_consolidation,0.2302,MD,RENT,4497.0,682.0,13,18906,0.0,12.0,0.19030000000000002,Higher Interest Rate
165,2000,1975,36 months,other,0.205,NY,MORTGAGE,6833.33,707.0,19,20653,5.0,5.0,0.1112,Lower Interest Rate
166,14400,14375,60 months,debt_consolidation,0.1606,GA,RENT,6250.0,732.0,6,28675,1.0,7.0,0.12689999999999999,Normal Interest Rate
167,4800,4800,36 months,debt_consolidation,0.17980000000000002,UT,MORTGAGE,4500.0,672.0,9,30895,0.0,12.0,0.1242,Normal Interest Rate
168,8325,8325,36 months,debt_consolidation,0.1522,NY,RENT,2916.67,672.0,13,7171,0.0,4.0,0.1531,Higher Interest Rate
169,6600,3800,36 months,other,0.0184,FL,OWN,2667.0,742.0,16,4889,1.0,0.5,0.0907,Lower Interest Rate
170,7750,7750,36 months,credit_card,0.09,CA,MORTGAGE,2000.0,662.0,3,5399,0.0,5.0,0.20489999999999997,Higher Interest Rate
171,6000,6000,36 months,credit_card,0.225,UT,RENT,2666.67,672.0,18,5955,0.0,12.0,0.1409,Normal Interest Rate
172,18000,18000,36 months,debt_consolidation,0.2018,WA,RENT,6916.67,667.0,15,23786,0.0,12.0,0.17989999999999998,Higher Interest Rate
173,12000,12000,36 months,debt_consolidation,0.2606,GA,RENT,5833.33,722.0,15,24893,3.0,12.0,0.1065,Lower Interest Rate
174,10000,10000,36 months,debt_consolidation,0.131,AK,MORTGAGE,4458.33,677.0,7,6413,1.0,0.5,0.158,Higher Interest Rate
175,19500,19500,36 months,debt_consolidation,0.029300000000000003,WA,MORTGAGE,9250.0,677.0,5,8915,1.0,12.0,0.205,Higher Interest Rate
176,7000,7000,36 months,other,0.1838,NY,OWN,2464.37,667.0,9,7089,0.0,3.0,0.1727,Higher Interest Rate
177,7300,7300,36 months,credit_card,0.2011,GA,MORTGAGE,3416.67,732.0,14,23030,0.0,4.0,0.0662,Lower Interest Rate
178,27050,27050,60 months,credit_card,0.2759,WA,MORTGAGE,5025.0,707.0,13,40037,1.0,12.0,0.1727,Higher Interest Rate
179,15000,14925,36 months,other,0.051,NY,RENT,3000.0,707.0,4,5936,1.0,3.0,0.13849999999999998,Normal Interest Rate
180,8800,8800,36 months,other,0.2073,PA,MORTGAGE,4833.0,792.0,6,306,4.0,5.0,0.0751,Lower Interest Rate
181,7000,7000,36 months,wedding,0.2072,CT,RENT,6000.0,717.0,9,6659,0.0,0.5,0.079,Lower Interest Rate
182,35000,35000,60 months,debt_consolidation,0.23809999999999998,CA,MORTGAGE,11500.0,692.0,14,21977,1.0,2.0,0.2198,Higher Interest Rate
183,8500,8500,36 months,debt_consolidation,0.174,MI,RENT,2500.0,692.0,6,6491,1.0,1.0,0.158,Higher Interest Rate
184,15000,15000,36 months,debt_consolidation,0.16870000000000002,IL,MORTGAGE,6312.0,737.0,17,14339,2.0,2.0,0.1038,Lower Interest Rate
185,11000,11000,36 months,debt_consolidation,0.1204,NC,MORTGAGE,5836.67,792.0,12,420,0.0,0.5,0.0603,Lower Interest Rate
186,3500,3500,36 months,debt_consolidation,0.13140000000000002,AR,MORTGAGE,18333.33,667.0,8,11107,2.0,7.0,0.15810000000000002,Higher Interest Rate
187,6000,6000,36 months,wedding,0.2121,GA,RENT,3333.33,687.0,8,4638,0.0,2.0,0.12119999999999999,Normal Interest Rate
188,5000,5000,60 months,other,0.11800000000000001,VA,RENT,5416.67,692.0,7,8745,1.0,4.0,0.1629,Higher Interest Rate
189,21200,21175,36 months,credit_card,0.3062,CA,RENT,4500.0,677.0,15,17250,0.0,12.0,0.18489999999999998,Higher Interest Rate
190,35000,35000,36 months,debt_consolidation,0.1959,PA,MORTGAGE,7500.0,697.0,11,29953,2.0,1.0,0.1531,Higher Interest Rate
191,4800,4800,60 months,other,0.27690000000000003,TX,RENT,1560.0,682.0,9,6563,0.0,0.5,0.1875,Higher Interest Rate
192,8500,8500,36 months,debt_consolidation,0.049,CA,MORTGAGE,4166.67,742.0,8,7114,0.0,12.0,0.0662,Lower Interest Rate
193,2650,2650,36 months,debt_consolidation,0.21109999999999998,WV,OWN,1482.92,727.0,15,1808,2.0,4.0,0.07490000000000001,Lower Interest Rate
194,8575,8575,36 months,debt_consolidation,0.34409999999999996,KY,MORTGAGE,4541.67,677.0,15,5180,1.0,12.0,0.158,Higher Interest Rate
195,5000,5000,36 months,other,0.1873,CA,MORTGAGE,8583.0,672.0,9,8097,1.0,1.0,0.1422,Normal Interest Rate
196,13200,13200,36 months,debt_consolidation,0.0861,KY,MORTGAGE,3333.33,682.0,10,5400,3.0,12.0,0.1531,Higher Interest Rate
197,10750,10750,36 months,other,0.2614,OH,RENT,2666.67,722.0,3,9800,0.0,8.0,0.1409,Normal Interest Rate
198,5450,5450,36 months,medical,0.2591,AL,RENT,3500.0,672.0,9,7619,0.0,1.0,0.1311,Normal Interest Rate
199,10000,10000,36 months,credit_card,0.0301,NY,MORTGAGE,9166.67,662.0,5,10079,1.0,6.0,0.1311,Normal Interest Rate
200,7500,224.99,36 months,other,0.0103,CT,MORTGAGE,8750.0,677.0,3,3607,4.0,6.0,0.1317,Normal Interest Rate
201,2400,2375,36 months,debt_consolidation,0.11230000000000001,NC,RENT,2333.33,707.0,8,2075,0.0,4.0,0.08900000000000001,Lower Interest Rate
202,15300,14850,36 months,debt_consolidation,0.1131,OH,MORTGAGE,6833.33,672.0,11,7106,2.0,12.0,0.1114,Lower Interest Rate
